Replicate;Well;Condition;Celltype;Treatment;Included;Comment
1;B02;0;;;0;Condition 0 = photobleaching
1;B03;0;;;0;Included 0 = excluded
1;B04;0;;;1;
1;B05;1;;;1;
1;B06;1;;;;
1;B07;1;;;;
1;B08;1;;;;
1;B09;;;;;
1;B10;;;;;
1;B11;;;;;
1;C02;;;;;
1;C03;;;;;
1;C04;;;;;
1;C05;;;;;
1;C06;;;;;
1;C07;;;;;
1;C08;;;;;
1;C09;;;;;
1;C10;;;;;
1;C11;;;;;
1;D02;;;;;
1;D03;;;;;
1;D04;;;;;
1;D05;;;;;
1;D06;;;;;
1;D07;;;;;
1;D08;;;;;
1;D09;;;;;
1;D10;;;;;
1;D11;;;;;
1;E02;;;;;
1;E03;;;;;
1;E04;;;;;
1;E05;;;;;
1;E06;;;;;
1;E07;;;;;
1;E08;;;;;
1;E09;;;;;
1;E10;;;;;
1;E11;;;;;
1;F02;;;;;
1;F03;;;;;
1;F04;;;;;
1;F05;;;;;
1;F06;;;;;
1;F07;;;;;
1;F08;;;;;
1;F09;;;;;
1;F10;;;;;
1;F11;;;;;
1;G02;;;;;
1;G03;;;;;
1;G04;;;;;
1;G05;;;;;
1;G06;;;;;
1;G07;;;;;
1;G08;;;;;
1;G09;;;;;
1;G10;;;;;
1;G11;;;;;
